id,row_type,is_flawed,known_errors,topic,item_format,difficulty,target_concept,question_start_5_words,question_word_count,option_count,source_seed_id,clean_revision_identical,loaded_question_row,single_label_loaded,frequency_without_zero_flag,missing_completion_flag,sensitive_context_flag,changed_in_v3
gold-200-rewritten-001,clean,False,,politics/public policy,support_oppose,obvious,support for public election information funding,please indicate your level of,17,5,candidate-v1-clean-0001,True,False,False,,,,False
gold-200-rewritten-002,clean,False,,education,binary_yes_no,realistic,self-reported uncited copying in coursework,this item is optional during,22,3,candidate-v1-clean-0002,True,False,False,,,,False
gold-200-rewritten-003,clean,False,,mobility,frequency,borderline,frequency of public transport use for city trips,in the past 7 days,17,5,candidate-v1-clean-0015,True,False,False,,,,False
gold-200-rewritten-004,clean,False,,health,ordinal_categories,obvious,satisfaction with appointment scheduling at primary care practices,how satisfied or dissatisfied are,19,5,candidate-v1-clean-0051,True,False,False,,,,False
gold-200-rewritten-005,clean,False,,finances,ordinal_categories,realistic,perceived stability of monthly household income,which statement best describes the,15,6,candidate-v1-clean-0087,True,False,False,,,,False
gold-200-rewritten-006,clean,False,,technology,ordinal_categories,borderline,control over privacy settings in frequently used apps,how much control do you,18,5,candidate-v1-clean-0024,True,False,False,,,,False
gold-200-rewritten-007,clean,False,,environment,frequency,obvious,frequency of household energy-saving actions,in a typical week how,20,5,candidate-v1-clean-0013,True,False,False,,,,False
gold-200-rewritten-008,clean,False,,work,frequency,realistic,ability to take short breaks during work or study,during a usual work or,19,6,candidate-v1-clean-0005,True,False,False,,,,False
gold-200-rewritten-009,clean,False,,public services,ordinal_categories,borderline,clarity of digital government forms,how satisfied or dissatisfied are,23,5,candidate-v1-clean-0033,True,False,False,,,,False
gold-200-rewritten-010,clean,False,,university life,ordinal_categories,obvious,availability of quiet study spaces,during the current semester how,19,5,candidate-v1-clean-0060,True,False,False,,,,False
gold-200-rewritten-011,clean,False,,labor,categorical_closed_ended,realistic,time until receiving responses from job applications,for your most recent job,19,6,candidate-v1-clean-0006,True,False,False,,,,False
gold-200-rewritten-012,clean,False,,family/household,numeric_ranges,borderline,weekly unpaid caregiving time,in the past 7 days,25,6,candidate-v1-clean-0008,True,False,False,,,,False
gold-200-rewritten-013,clean,False,,media/culture,frequency,obvious,frequency of local news video consumption,in the past 7 days,14,5,candidate-v1-clean-0018,True,False,False,,,,False
gold-200-rewritten-014,clean,False,,sensitive behaviors,binary_yes_no,realistic,driving after consuming alcohol,you may skip this item,15,3,candidate-v1-clean-0011,True,False,False,,,,False
gold-200-rewritten-015,clean,False,,education,support_oppose,borderline,support for additional tutoring in public schools,what is your view on,11,5,candidate-v1-clean-0037,True,False,False,,,,False
gold-200-rewritten-016,clean,False,,public services,categorical_closed_ended,obvious,preferred channel for renewing official documents,which channel would you prefer,15,6,candidate-v1-clean-0036,True,False,False,,,,False
gold-200-rewritten-017,clean,False,,environment,ordinal_categories,realistic,concern about summer heat in local neighborhoods,please rate your concern about,14,5,candidate-v1-clean-0105,True,False,False,,,,False
gold-200-rewritten-018,clean,False,,health,open_ended,borderline,main reason for missing preventive health appointments,what is the main reason,20,0,candidate-v1-clean-0044,True,False,False,,,,False
gold-200-rewritten-019,clean,False,,technology,binary_yes_no,obvious,use of two-factor authentication,do you currently use two,13,3,candidate-v1-clean-0020,True,False,False,,,,False
gold-200-rewritten-020,clean,False,,mobility,categorical_closed_ended,realistic,main transport mode for commuting,which mode of transport do,16,7,candidate-v1-clean-0027,True,False,False,,,,False
gold-200-rewritten-021,clean,False,,work,ordinal_categories,borderline,satisfaction with communication from supervisor,how satisfied or dissatisfied are,14,6,candidate-v1-clean-0069,True,False,False,,,,False
gold-200-rewritten-022,clean,False,,finances,categorical_closed_ended,obvious,ability to cover unexpected expense,could your household cover an,13,5,candidate-v1-clean-0009,True,False,False,,,,False
gold-200-rewritten-023,clean,False,,family/household,ordinal_categories,realistic,division of household tasks,how fair or unfair do,17,6,candidate-v1-clean-0042,True,False,False,,,,False
gold-200-rewritten-024,clean,False,,media/culture,numeric_ranges,borderline,attendance at local cultural events,during the last 3 months,22,4,candidate-v1-clean-0019,True,False,False,,,,False
gold-200-rewritten-025,clean,False,,politics/public policy,ordinal_categories,obvious,perceived usefulness of public consultation processes,how useful do you find,13,6,candidate-v1-clean-0029,True,False,False,,,,False
gold-200-rewritten-026,clean,False,,sensitive behaviors,binary_yes_no,realistic,use of non-prescribed medication,this question is optional in,19,3,candidate-v1-clean-0083,True,False,False,,,,False
gold-200-rewritten-027,clean,False,,university life,frequency,borderline,feedback timing after assignments,for courses this semester how,17,6,candidate-v1-clean-0022,True,False,False,,,,False
gold-200-rewritten-028,clean,False,,labor,ordinal_categories,obvious,perceived fairness of promotion criteria,how fair or unfair do,18,6,candidate-v1-clean-0150,True,False,False,,,,False
gold-200-rewritten-029,clean,False,,health,categorical_closed_ended,realistic,preferred source for information about vaccination appointments,where would you first look,10,6,candidate-v1-clean-0004,True,False,False,,,,False
gold-200-rewritten-030,clean,False,,technology,frequency,borderline,frequency of checking app permissions,in the last 6 months,17,5,candidate-v1-clean-0016,True,False,False,,,,False
gold-200-rewritten-031,clean,False,,education,ordinal_categories,obvious,importance of class-size reductions,how important or unimportant do,15,5,candidate-v1-clean-0096,True,False,False,,,,False
gold-200-rewritten-032,clean,False,,environment,support_oppose,realistic,support for separate food-waste collection,do you support or oppose,12,5,candidate-v1-clean-0046,True,False,False,,,,False
gold-200-rewritten-033,clean,False,,public services,binary_yes_no,borderline,recent use of municipal service portal,in the past 12 months,20,3,candidate-v1-clean-0017,True,False,False,,,,False
gold-200-rewritten-034,clean,False,,work,open_ended,obvious,main factor when choosing remote-work days,what is the main factor,17,0,candidate-v1-clean-0053,True,False,False,,,,False
gold-200-rewritten-035,clean,False,,family/household,ordinal_categories,realistic,housing crowding relative to household needs,how well does your current,12,5,candidate-v1-clean-0186,True,False,False,,,,False
gold-200-rewritten-036,clean,False,,media/culture,ordinal_categories,borderline,trust in information from public broadcasters,how much do you trust,12,5,candidate-v1-clean-0123,True,False,False,,,,False
gold-200-rewritten-037,clean,False,,politics/public policy,binary_yes_no,obvious,participation in a public consultation,in the previous year did,22,3,candidate-v1-clean-0173,True,False,False,,,,False
gold-200-rewritten-038,clean,False,,university life,open_ended,realistic,reasons for using academic advising,what is the main reason,12,0,candidate-v1-clean-0026,True,False,False,,,,False
gold-200-rewritten-039,clean,False,,finances,categorical_closed_ended,borderline,preferred method for receiving utility bills,how would you prefer to,8,6,candidate-v1-clean-0045,True,False,False,,,,False
gold-200-rewritten-040,clean,False,,sensitive behaviors,frequency,obvious,frequency of gambling with money,some people prefer not to,21,5,candidate-v1-clean-0014,True,False,False,,,,False
gold-200-rewritten-041,single_label,True,leading_question,environment,binary_yes_no,realistic,support for protected bike lanes near schools,because safer routes clearly help,19,2,candidate-v1-single-leading-question-013,False,False,False,,,,False
gold-200-rewritten-042,single_label,True,leading_question,public services,binary_yes_no,borderline,support for evening hours at municipal service offices,most busy residents would benefit,17,2,candidate-v1-single-leading-question-023,False,False,False,,,,False
gold-200-rewritten-043,single_label,True,leading_question,technology,binary_yes_no,obvious,support for default privacy protections in student apps,wouldn’t you agree that student,14,2,candidate-v1-single-leading-question-011,False,False,False,,,,False
gold-200-rewritten-044,single_label,True,leading_question,health,binary_yes_no,realistic,support for free mental-health drop-in hours,given the importance of mental,15,2,candidate-v1-single-leading-question-003,False,False,False,,,,False
gold-200-rewritten-045,single_label,True,leading_question,labor,binary_yes_no,borderline,support for advance notice of shift changes,isn’t it only fair that,16,2,candidate-v1-single-leading-question-007,False,False,False,,,,False
gold-200-rewritten-046,single_label,True,leading_question,media/culture,binary_yes_no,obvious,support for public funding of local arts venues,since local arts venues bring,15,2,candidate-v1-single-leading-question-019,False,False,False,,,,False
gold-200-rewritten-047,single_label,True,leading_question,finances,binary_yes_no,realistic,support for automatic reminders before bank overdraft fees,don’t you think banks should,12,2,candidate-v1-single-leading-question-009,False,False,False,,,,False
gold-200-rewritten-048,single_label,True,leading_question,university life,binary_yes_no,borderline,support for longer library opening hours during exams,students clearly need more study,14,2,candidate-v1-single-leading-question-021,False,False,False,,,,False
gold-200-rewritten-049,single_label,True,loaded_question,finances,ordinal_categories,obvious,effect of account fees on monthly available money,how much did the bank's,17,6,candidate-v1-single-loaded-question-001,False,True,True,False,False,False,True
gold-200-rewritten-050,single_label,True,loaded_question,university life,open_ended,realistic,effect of course registration portal on semester planning,in what ways did the,18,0,candidate-v1-single-loaded-question-002,False,True,True,False,False,False,True
gold-200-rewritten-051,single_label,True,loaded_question,technology,frequency,borderline,frequency of campus app login problems preventing service access,during the last month how,19,5,candidate-v1-single-loaded-question-004,False,True,True,False,False,False,True
gold-200-rewritten-052,single_label,True,loaded_question,labor,numeric_ranges,obvious,extra time attributed to shift-scheduling system,last month how much extra,15,5,candidate-v1-single-loaded-question-007,False,True,True,False,False,False,True
gold-200-rewritten-053,single_label,True,loaded_question,family/household,categorical_closed_ended,realistic,household task affected by building maintenance service,which household task if any,16,7,candidate-v1-single-loaded-question-006,False,True,True,False,False,False,True
gold-200-rewritten-054,single_label,True,loaded_question,mobility,ordinal_categories,borderline,effect of roadworks on usual commute,what effect did the city's,15,6,candidate-v1-single-loaded-question-003,False,True,True,False,False,False,True
gold-200-rewritten-055,single_label,True,loaded_question,politics/public policy,support_oppose,obvious,support for reducing spending on decorative public signs,do you support or oppose,14,6,candidate-v1-single-loaded-question-009,False,True,True,False,False,False,True
gold-200-rewritten-056,single_label,True,loaded_question,health,binary_yes_no,realistic,whether clinic appointment reminders caused missed or rescheduled appointments,this year did the clinic's,16,4,candidate-v1-single-loaded-question-005,False,True,True,False,False,False,True
gold-200-rewritten-057,single_label,True,double_barreled,public services,ordinal_categories,borderline,satisfaction with clarity of forms and waiting times,please rate your satisfaction with,20,5,candidate-v1-single-double-barreled-001,False,False,False,,,,False
