item_number,id,professor_issue,action,labels_before,labels_after,question_before,question_after,response_options_before,response_options_after,expected_revision_question_after,expected_revision_options_after
Item003,gold-200-rewritten-003,Mixed count and rate categories.,Use count categories consistently; remove the mixed count/rate endpoint “Daily”.,,,"In the past 7 days, how often did you use public transport for trips within your city?","In the past 7 days, how many times did you use public transport for trips within your city?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","[""0 times"", ""1 time"", ""2-3 times"", ""4-6 times"", ""7 or more times""]","In the past 7 days, how many times did you use public transport for trips within your city?","[""0 times"", ""1 time"", ""2-3 times"", ""4-6 times"", ""7 or more times""]"
Item007,gold-200-rewritten-007,Vague quantification; ask for a count or rate.,Replace vague verbal frequency categories with an explicit opportunity-based rate and a fixed reference period.,,,"In a typical week, how often does your household turn off lights or devices when they are not being used?","In the past 7 days, when a light or device in your home was not being used, how often did someone in your household turn it off?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Very often""]","[""Never"", ""Less than half of the time"", ""About half of the time"", ""More than half of the time"", ""Every time"", ""Not applicable""]","In the past 7 days, when a light or device in your home was not being used, how often did someone in your household turn it off?","[""Never"", ""Less than half of the time"", ""About half of the time"", ""More than half of the time"", ""Every time"", ""Not applicable""]"
Item008,gold-200-rewritten-008,Vague quantification; ask for a count or rate.,Replace vague frequency categories with an explicit rate over a fixed reference period and add non-applicable paths.,,,"During a usual work or study day, how often can you take a short break when you need one?","During the past 7 days, on the days when you worked or studied and needed a short break, how often were you able to take one?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","[""Never"", ""Less than half of the time"", ""About half of the time"", ""More than half of the time"", ""Every time"", ""I did not work or study"", ""I did not need a break""]","During the past 7 days, on the days when you worked or studied and needed a short break, how often were you able to take one?","[""Never"", ""Less than half of the time"", ""About half of the time"", ""More than half of the time"", ""Every time"", ""I did not work or study"", ""I did not need a break""]"
Item013,gold-200-rewritten-013,Mixed count and rate categories.,Use count categories consistently; remove the mixed count/rate endpoint “Daily”.,,,"In the past 7 days, how often did you watch local news videos online?","In the past 7 days, how many times did you watch local news videos online?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","[""0 times"", ""1 time"", ""2-3 times"", ""4-6 times"", ""7 or more times""]","In the past 7 days, how many times did you watch local news videos online?","[""0 times"", ""1 time"", ""2-3 times"", ""4-6 times"", ""7 or more times""]"
Item027,gold-200-rewritten-027,Vague quantification; ask for a count or rate.,Ask for a defined proportion rather than using vague frequency words.,,,"For courses this semester, how often did you receive feedback on assignments before the next related deadline?","For assignments submitted this semester, for what proportion did you receive feedback before the next related deadline?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","[""None"", ""Less than half"", ""About half"", ""More than half"", ""All"", ""No assignments had a related later deadline"", ""Not applicable""]","For assignments submitted this semester, for what proportion did you receive feedback before the next related deadline?","[""None"", ""Less than half"", ""About half"", ""More than half"", ""All"", ""No assignments had a related later deadline"", ""Not applicable""]"
Item040,gold-200-rewritten-040,Mixed count and rate categories.,Use count categories consistently rather than mixing event counts with “Monthly or more often”.,,,"Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?","Some people prefer not to answer questions about gambling. During the last 12 months, how many times did you gamble with money?","[""Never"", ""Once"", ""A few times"", ""Monthly or more often"", ""Prefer not to answer""]","[""0 times"", ""1 time"", ""2-3 times"", ""4-11 times"", ""12 or more times"", ""Prefer not to answer""]","Some people prefer not to answer questions about gambling. During the last 12 months, how many times did you gamble with money?","[""0 times"", ""1 time"", ""2-3 times"", ""4-11 times"", ""12 or more times"", ""Prefer not to answer""]"
Item090,gold-200-rewritten-090,Also warrants vague_ambiguous.,"Add vague_ambiguous because the original reference period, target event, or frequency task is underspecified; ensure the expected revision addresses it.",social_desirability,social_desirability|vague_ambiguous,"In a typical day, how often do you make the healthy choice to eat fruit?","In a typical day, how often do you make the healthy choice to eat fruit?","[""Rarely"", ""Usually"", ""Always""]","[""Rarely"", ""Usually"", ""Always""]","In the past 7 days, on how many days did you eat at least one portion of fruit?","[""0 days"", ""1-2 days"", ""3-4 days"", ""5-6 days"", ""7 days""]"
Item091,gold-200-rewritten-091,Also warrants vague_ambiguous.,"Add vague_ambiguous because the original reference period, target event, or frequency task is underspecified; ensure the expected revision addresses it.",social_desirability,social_desirability|vague_ambiguous,Responsible citizens vote in local elections. Did you vote in the most recent local election?,Responsible citizens vote in local elections. Did you vote in the most recent local election?,"[""Yes"", ""No""]","[""Yes"", ""No""]","In the municipal election held on 15 March 2026, did you vote?","[""Yes"", ""No"", ""I was not eligible to vote"", ""Prefer not to answer"", ""Not sure""]"
Item092,gold-200-rewritten-092,Also warrants vague_ambiguous.,"Add vague_ambiguous because the original reference period, target event, or frequency task is underspecified; ensure the expected revision addresses it.",social_desirability,social_desirability|vague_ambiguous,"At work, how often do you honestly report mistakes instead of hiding them?","At work, how often do you honestly report mistakes instead of hiding them?","[""Never"", ""Sometimes"", ""Always"", ""Not applicable""]","[""Never"", ""Sometimes"", ""Always"", ""Not applicable""]","In the last 3 months, how often did you report a work mistake to the person responsible for handling it?","[""Never"", ""Once"", ""2-3 times"", ""4 or more times"", ""No relevant mistake occurred"", ""Not applicable""]"
Item093,gold-200-rewritten-093,Also warrants vague_ambiguous.,"Add vague_ambiguous because the original reference period, target event, or frequency task is underspecified; ensure the expected revision addresses it.",social_desirability,social_desirability|vague_ambiguous,"Before class, how often do you come prepared like a serious student?","Before class, how often do you come prepared like a serious student?","[""Never"", ""Sometimes"", ""Always""]","[""Never"", ""Sometimes"", ""Always""]","During the last 2 weeks of classes, how often did you complete the assigned preparation before class?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]"
