id,is_flawed,known_errors,topic,target_concept,question,response_options,expected_revision_question,expected_revision_response_options,revision_notes,difficulty,item_format,source_seed_id,benchmark_version,v3_cleanup_replacement,v3_cleanup_reason
gold-200-rewritten-001,False,,politics/public policy,support for public election information funding,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]",Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Clean control; no revision expected.""]",obvious,support_oppose,candidate-v1-clean-0001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-002,False,,education,self-reported uncited copying in coursework,"This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?","[""Yes"", ""No"", ""Prefer not to answer""]","This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Clean control; no revision expected.""]",realistic,binary_yes_no,candidate-v1-clean-0002,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-003,False,,mobility,frequency of public transport use for city trips,"In the past 7 days, how often did you use public transport for trips within your city?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","In the past 7 days, how often did you use public transport for trips within your city?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","[""Clean control; no revision expected.""]",borderline,frequency,candidate-v1-clean-0015,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-004,False,,health,satisfaction with appointment scheduling at primary care practices,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]",How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Clean control; no revision expected.""]",obvious,ordinal_categories,candidate-v1-clean-0051,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-005,False,,finances,perceived stability of monthly household income,Which statement best describes the stability of your household income during the last 6 months?,"[""Very unstable"", ""Somewhat unstable"", ""About the same each month"", ""Somewhat stable"", ""Very stable"", ""Prefer not to say""]",Which statement best describes the stability of your household income during the last 6 months?,"[""Very unstable"", ""Somewhat unstable"", ""About the same each month"", ""Somewhat stable"", ""Very stable"", ""Prefer not to say""]","[""Clean control; no revision expected.""]",realistic,ordinal_categories,candidate-v1-clean-0087,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-006,False,,technology,control over privacy settings in frequently used apps,How much control do you feel you have over privacy settings in the apps you use most often?,"[""No control"", ""A little control"", ""Some control"", ""A lot of control"", ""Complete control""]",How much control do you feel you have over privacy settings in the apps you use most often?,"[""No control"", ""A little control"", ""Some control"", ""A lot of control"", ""Complete control""]","[""Clean control; no revision expected.""]",borderline,ordinal_categories,candidate-v1-clean-0024,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-007,False,,environment,frequency of household energy-saving actions,"In a typical week, how often does your household turn off lights or devices when they are not being used?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Very often""]","In a typical week, how often does your household turn off lights or devices when they are not being used?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Very often""]","[""Clean control; no revision expected.""]",obvious,frequency,candidate-v1-clean-0013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-008,False,,work,ability to take short breaks during work or study,"During a usual work or study day, how often can you take a short break when you need one?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","During a usual work or study day, how often can you take a short break when you need one?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","[""Clean control; no revision expected.""]",realistic,frequency,candidate-v1-clean-0005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-009,False,,public services,clarity of digital government forms,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]",How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Clean control; no revision expected.""]",borderline,ordinal_categories,candidate-v1-clean-0033,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-010,False,,university life,availability of quiet study spaces,"During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?","[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?","[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Clean control; no revision expected.""]",obvious,ordinal_categories,candidate-v1-clean-0060,final_gold_200_unique_v3_pure_loaded,,
