gold_id,source_seed_id,known_errors,topic,item_format,difficulty,question,expected_revision_question,changed_in_v3,v3_change_reason
gold-200-rewritten-001,candidate-v1-clean-0001,,politics/public policy,support_oppose,obvious,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,False,
gold-200-rewritten-002,candidate-v1-clean-0002,,education,binary_yes_no,realistic,"This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?","This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?",False,
gold-200-rewritten-003,candidate-v1-clean-0015,,mobility,frequency,borderline,"In the past 7 days, how often did you use public transport for trips within your city?","In the past 7 days, how often did you use public transport for trips within your city?",False,
gold-200-rewritten-004,candidate-v1-clean-0051,,health,ordinal_categories,obvious,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,False,
gold-200-rewritten-005,candidate-v1-clean-0087,,finances,ordinal_categories,realistic,Which statement best describes the stability of your household income during the last 6 months?,Which statement best describes the stability of your household income during the last 6 months?,False,
gold-200-rewritten-006,candidate-v1-clean-0024,,technology,ordinal_categories,borderline,How much control do you feel you have over privacy settings in the apps you use most often?,How much control do you feel you have over privacy settings in the apps you use most often?,False,
gold-200-rewritten-007,candidate-v1-clean-0013,,environment,frequency,obvious,"In a typical week, how often does your household turn off lights or devices when they are not being used?","In a typical week, how often does your household turn off lights or devices when they are not being used?",False,
gold-200-rewritten-008,candidate-v1-clean-0005,,work,frequency,realistic,"During a usual work or study day, how often can you take a short break when you need one?","During a usual work or study day, how often can you take a short break when you need one?",False,
gold-200-rewritten-009,candidate-v1-clean-0033,,public services,ordinal_categories,borderline,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,False,
gold-200-rewritten-010,candidate-v1-clean-0060,,university life,ordinal_categories,obvious,"During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?","During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?",False,
gold-200-rewritten-011,candidate-v1-clean-0006,,labor,categorical_closed_ended,realistic,"For your most recent job search, how long did employers usually take to respond after you submitted an application?","For your most recent job search, how long did employers usually take to respond after you submitted an application?",False,
gold-200-rewritten-012,candidate-v1-clean-0008,,family/household,numeric_ranges,borderline,"In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?","In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?",False,
gold-200-rewritten-013,candidate-v1-clean-0018,,media/culture,frequency,obvious,"In the past 7 days, how often did you watch local news videos online?","In the past 7 days, how often did you watch local news videos online?",False,
gold-200-rewritten-014,candidate-v1-clean-0011,,sensitive behaviors,binary_yes_no,realistic,"You may skip this item. In the last year, did you drive after drinking alcohol?","You may skip this item. In the last year, did you drive after drinking alcohol?",False,
gold-200-rewritten-015,candidate-v1-clean-0037,,education,support_oppose,borderline,What is your view on increasing tutoring support in public schools?,What is your view on increasing tutoring support in public schools?,False,
gold-200-rewritten-016,candidate-v1-clean-0036,,public services,categorical_closed_ended,obvious,Which channel would you prefer for renewing official documents such as residence certificates or permits?,Which channel would you prefer for renewing official documents such as residence certificates or permits?,False,
gold-200-rewritten-017,candidate-v1-clean-0105,,environment,ordinal_categories,realistic,Please rate your concern about the effects of summer heat in your local neighborhood.,Please rate your concern about the effects of summer heat in your local neighborhood.,False,
gold-200-rewritten-018,candidate-v1-clean-0044,,health,open_ended,borderline,"What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?","What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?",False,
gold-200-rewritten-019,candidate-v1-clean-0020,,technology,binary_yes_no,obvious,Do you currently use two-factor authentication for at least one important online account?,Do you currently use two-factor authentication for at least one important online account?,False,
gold-200-rewritten-020,candidate-v1-clean-0027,,mobility,categorical_closed_ended,realistic,"Which mode of transport do you use most often for travel to work, university, or training?","Which mode of transport do you use most often for travel to work, university, or training?",False,
gold-200-rewritten-021,candidate-v1-clean-0069,,work,ordinal_categories,borderline,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,False,
gold-200-rewritten-022,candidate-v1-clean-0009,,finances,categorical_closed_ended,obvious,Could your household cover an unexpected expense of 500 euros within one month?,Could your household cover an unexpected expense of 500 euros within one month?,False,
gold-200-rewritten-023,candidate-v1-clean-0042,,family/household,ordinal_categories,realistic,How fair or unfair do you consider the current division of routine household tasks in your household?,How fair or unfair do you consider the current division of routine household tasks in your household?,False,
gold-200-rewritten-024,candidate-v1-clean-0019,,media/culture,numeric_ranges,borderline,"During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?","During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?",False,
gold-200-rewritten-025,candidate-v1-clean-0029,,politics/public policy,ordinal_categories,obvious,How useful do you find public consultation processes for informing local policy decisions?,How useful do you find public consultation processes for informing local policy decisions?,False,
gold-200-rewritten-026,candidate-v1-clean-0083,,sensitive behaviors,binary_yes_no,realistic,"This question is optional. In the past year, did you use prescription medication that was not prescribed to you?","This question is optional. In the past year, did you use prescription medication that was not prescribed to you?",False,
gold-200-rewritten-027,candidate-v1-clean-0022,,university life,frequency,borderline,"For courses this semester, how often did you receive feedback on assignments before the next related deadline?","For courses this semester, how often did you receive feedback on assignments before the next related deadline?",False,
gold-200-rewritten-028,candidate-v1-clean-0150,,labor,ordinal_categories,obvious,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,False,
gold-200-rewritten-029,candidate-v1-clean-0004,,health,categorical_closed_ended,realistic,Where would you first look for information about vaccination appointments?,Where would you first look for information about vaccination appointments?,False,
gold-200-rewritten-030,candidate-v1-clean-0016,,technology,frequency,borderline,"In the last 6 months, how often did you review permissions granted to apps on your phone?","In the last 6 months, how often did you review permissions granted to apps on your phone?",False,
gold-200-rewritten-031,candidate-v1-clean-0096,,education,ordinal_categories,obvious,How important or unimportant do you think reducing class sizes is for improving classroom learning?,How important or unimportant do you think reducing class sizes is for improving classroom learning?,False,
gold-200-rewritten-032,candidate-v1-clean-0046,,environment,support_oppose,realistic,Do you support or oppose introducing separate food-waste collection in your municipality?,Do you support or oppose introducing separate food-waste collection in your municipality?,False,
gold-200-rewritten-033,candidate-v1-clean-0017,,public services,binary_yes_no,borderline,"In the past 12 months, have you used a municipal online portal to request a service or submit a document?","In the past 12 months, have you used a municipal online portal to request a service or submit a document?",False,
gold-200-rewritten-034,candidate-v1-clean-0053,,work,open_ended,obvious,What is the main factor you consider when deciding whether to work remotely on a given day?,What is the main factor you consider when deciding whether to work remotely on a given day?,False,
gold-200-rewritten-035,candidate-v1-clean-0186,,family/household,ordinal_categories,realistic,How well does your current home meet your household’s need for space?,How well does your current home meet your household’s need for space?,False,
gold-200-rewritten-036,candidate-v1-clean-0123,,media/culture,ordinal_categories,borderline,How much do you trust public broadcasters for information about local events?,How much do you trust public broadcasters for information about local events?,False,
gold-200-rewritten-037,candidate-v1-clean-0173,,politics/public policy,binary_yes_no,obvious,"In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?","In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?",False,
gold-200-rewritten-038,candidate-v1-clean-0026,,university life,open_ended,realistic,What is the main reason you last contacted an academic advising service?,What is the main reason you last contacted an academic advising service?,False,
gold-200-rewritten-039,candidate-v1-clean-0045,,finances,categorical_closed_ended,borderline,How would you prefer to receive utility bills?,How would you prefer to receive utility bills?,False,
gold-200-rewritten-040,candidate-v1-clean-0014,,sensitive behaviors,frequency,obvious,"Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?","Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?",False,
gold-200-rewritten-041,candidate-v1-single-leading-question-013,leading_question,environment,binary_yes_no,realistic,"Because safer routes clearly help children get to school, should the city add protected bike lanes near school entrances?",To what extent do you support or oppose adding protected bike lanes near school entrances?,False,
gold-200-rewritten-042,candidate-v1-single-leading-question-023,leading_question,public services,binary_yes_no,borderline,Most busy residents would benefit from evening service-office hours; do you think the municipality should offer them?,To what extent do you support or oppose offering evening hours at municipal service offices?,False,
gold-200-rewritten-043,candidate-v1-single-leading-question-011,leading_question,technology,binary_yes_no,obvious,Wouldn’t you agree that student apps should have privacy-protective settings turned on by default?,To what extent do you support or oppose privacy-protective default settings in student apps?,False,
gold-200-rewritten-044,candidate-v1-single-leading-question-003,leading_question,health,binary_yes_no,realistic,"Given the importance of mental health, should universities provide free drop-in counseling hours every week?",To what extent do you support or oppose universities providing free weekly drop-in counseling hours?,False,
gold-200-rewritten-045,candidate-v1-single-leading-question-007,leading_question,labor,binary_yes_no,borderline,Isn’t it only fair that employers give workers at least two weeks’ notice before changing shifts?,To what extent do you support or oppose requiring employers to give at least two weeks’ notice before changing shifts?,False,
gold-200-rewritten-046,candidate-v1-single-leading-question-019,leading_question,media/culture,binary_yes_no,obvious,"Since local arts venues bring communities together, should public funds be used to support them?",To what extent do you support or oppose using public funds to support local arts venues?,False,
gold-200-rewritten-047,candidate-v1-single-leading-question-009,leading_question,finances,binary_yes_no,realistic,Don’t you think banks should obviously warn customers before charging overdraft fees?,To what extent do you support or oppose requiring banks to send reminders before charging overdraft fees?,False,
gold-200-rewritten-048,candidate-v1-single-leading-question-021,leading_question,university life,binary_yes_no,borderline,Students clearly need more study time during exams; should the library stay open later?,To what extent do you support or oppose extending library opening hours during exam periods?,False,
gold-200-rewritten-049,candidate-v1-single-loaded-question-001,loaded_question,finances,ordinal_categories,obvious,How much did the bank's hidden account fees reduce the money you had available for monthly expenses?,"During the last 12 months, how much did account fees, if any, affect the money you had available for monthly expenses?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-050,candidate-v1-single-loaded-question-002,loaded_question,university life,open_ended,realistic,In what ways did the confusing course registration portal make it harder for you to plan this semester?,"In what ways, if any, did the course registration portal affect your ability to plan this semester?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
