gold_id,source_seed_id,known_errors_v3,known_errors_v4,topic,item_format_v3,item_format_v4,difficulty,question_v3,question_v4,expected_revision_question_v3,expected_revision_question_v4,changed_in_v3,changed_in_v4,v4_change_reason
gold-200-rewritten-001,candidate-v1-clean-0001,,,politics/public policy,support_oppose,support_oppose,obvious,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,Please indicate your level of support or opposition to public funding for nonpartisan local election information campaigns.,False,False,
gold-200-rewritten-002,candidate-v1-clean-0002,,,education,binary_yes_no,binary_yes_no,realistic,"This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?","This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?","This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?","This item is optional. During the last 12 months, did you submit coursework that included text copied from another source without citation?",False,False,
gold-200-rewritten-003,candidate-v1-clean-0015,,,mobility,frequency,frequency,borderline,"In the past 7 days, how often did you use public transport for trips within your city?","In the past 7 days, how many times did you use public transport for trips within your city?","In the past 7 days, how often did you use public transport for trips within your city?","In the past 7 days, how many times did you use public transport for trips within your city?",False,True,Use count categories consistently; remove the mixed count/rate endpoint “Daily”.
gold-200-rewritten-004,candidate-v1-clean-0051,,,health,ordinal_categories,ordinal_categories,obvious,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,How satisfied or dissatisfied are you with the ease of scheduling an appointment at your usual primary care practice?,False,False,
gold-200-rewritten-005,candidate-v1-clean-0087,,,finances,ordinal_categories,ordinal_categories,realistic,Which statement best describes the stability of your household income during the last 6 months?,Which statement best describes the stability of your household income during the last 6 months?,Which statement best describes the stability of your household income during the last 6 months?,Which statement best describes the stability of your household income during the last 6 months?,False,False,
gold-200-rewritten-006,candidate-v1-clean-0024,,,technology,ordinal_categories,ordinal_categories,borderline,How much control do you feel you have over privacy settings in the apps you use most often?,How much control do you feel you have over privacy settings in the apps you use most often?,How much control do you feel you have over privacy settings in the apps you use most often?,How much control do you feel you have over privacy settings in the apps you use most often?,False,False,
gold-200-rewritten-007,candidate-v1-clean-0013,,,environment,frequency,frequency,obvious,"In a typical week, how often does your household turn off lights or devices when they are not being used?","In the past 7 days, when a light or device in your home was not being used, how often did someone in your household turn it off?","In a typical week, how often does your household turn off lights or devices when they are not being used?","In the past 7 days, when a light or device in your home was not being used, how often did someone in your household turn it off?",False,True,Replace vague verbal frequency categories with an explicit opportunity-based rate and a fixed reference period.
gold-200-rewritten-008,candidate-v1-clean-0005,,,work,frequency,frequency,realistic,"During a usual work or study day, how often can you take a short break when you need one?","During the past 7 days, on the days when you worked or studied and needed a short break, how often were you able to take one?","During a usual work or study day, how often can you take a short break when you need one?","During the past 7 days, on the days when you worked or studied and needed a short break, how often were you able to take one?",False,True,Replace vague frequency categories with an explicit rate over a fixed reference period and add non-applicable paths.
gold-200-rewritten-009,candidate-v1-clean-0033,,,public services,ordinal_categories,ordinal_categories,borderline,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,How satisfied or dissatisfied are you with the clarity of instructions on digital government forms you have used in the last 12 months?,False,False,
gold-200-rewritten-010,candidate-v1-clean-0060,,,university life,ordinal_categories,ordinal_categories,obvious,"During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?","During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?","During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?","During the current semester, how satisfied or dissatisfied are you with the availability of quiet study spaces on campus?",False,False,
gold-200-rewritten-011,candidate-v1-clean-0006,,,labor,categorical_closed_ended,categorical_closed_ended,realistic,"For your most recent job search, how long did employers usually take to respond after you submitted an application?","For your most recent job search, how long did employers usually take to respond after you submitted an application?","For your most recent job search, how long did employers usually take to respond after you submitted an application?","For your most recent job search, how long did employers usually take to respond after you submitted an application?",False,False,
gold-200-rewritten-012,candidate-v1-clean-0008,,,family/household,numeric_ranges,numeric_ranges,borderline,"In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?","In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?","In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?","In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?",False,False,
gold-200-rewritten-013,candidate-v1-clean-0018,,,media/culture,frequency,frequency,obvious,"In the past 7 days, how often did you watch local news videos online?","In the past 7 days, how many times did you watch local news videos online?","In the past 7 days, how often did you watch local news videos online?","In the past 7 days, how many times did you watch local news videos online?",False,True,Use count categories consistently; remove the mixed count/rate endpoint “Daily”.
gold-200-rewritten-014,candidate-v1-clean-0011,,,sensitive behaviors,binary_yes_no,binary_yes_no,realistic,"You may skip this item. In the last year, did you drive after drinking alcohol?","You may skip this item. In the last year, did you drive after drinking alcohol?","You may skip this item. In the last year, did you drive after drinking alcohol?","You may skip this item. In the last year, did you drive after drinking alcohol?",False,False,
gold-200-rewritten-015,candidate-v1-clean-0037,,,education,support_oppose,support_oppose,borderline,What is your view on increasing tutoring support in public schools?,What is your view on increasing tutoring support in public schools?,What is your view on increasing tutoring support in public schools?,What is your view on increasing tutoring support in public schools?,False,False,
